EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
143435784,AUS / Dubb (AUS) 4th May,R4 516m Heat,04-05-2018 11:05,4636696,4. Total Reality,0,75,1,48.965748031496062992125984251968503937,1,1001,1,1001,50.8,0,0
143435784,AUS / Dubb (AUS) 4th May,R4 516m Heat,04-05-2018 11:05,12023627,8. Landons Girl,0,40,1,43.6743384009009009009009009009009009009,1,1001,1,1001,284.16,0,0
143435784,AUS / Dubb (AUS) 4th May,R4 516m Heat,04-05-2018 11:05,12862822,2. Arrogant Patch,0,87.35857098039239,1,43.9957907396271797955502104630186410102,1,1001,1,1001,33.26,0,0
143435798,AUS / Dubb (AUS) 4th May,R11 400m Gr5,04-05-2018 13:16,13326015,1. My Brother Sam,0,9.4,1,1,1,1001,1,1001,0,0,0
143435804,AUS / Bend (AUS) 4th May,R3 425m Gr5,04-05-2018 06:47,15206750,1. Super Stoked,0,11.529800666,1,7.58604628549202644885258654220147802412,1,1001,1,1001,411.36,0,0
143435804,AUS / Bend (AUS) 4th May,R3 425m Gr5,04-05-2018 06:47,16775818,4. Zipping Boyd,0,2.2883458233815324,1,2.16741109261641464038524988229711544521,1,1001,1,1001,5394.94,0,0
143435804,AUS / Bend (AUS) 4th May,R3 425m Gr5,04-05-2018 06:47,11528390,7. Ruby Rads,0,26.711248968322767,1,15.8332628194279911998646133017431037401,1,1001,1,1001,236.36,0,0
143435820,AUS / Bend (AUS) 4th May,R11 425m Gr5,04-05-2018 09:42,12790552,2. Cosmic Act,0,3.8,1,3.57115841209131306412423898081169221104,1,1001,1,1001,2164.86,0,0
143419748,AUS / Heal (AUS) 4th May,R12 300m Gr5,04-05-2018 05:49,12975790,9. Gotta Cheer Up,0,21,1,19.7404384082192744801379261813447802681,1,1001,1,1001,568.42,0,0
143419143,AUS / Ipsw (AUS) 4th May,R9 431m Heat,04-05-2018 09:34,12253134,2. Spanish Harbour,0,9.310435897782554,1,5.98926156701577621635953864510141853374,1,1001,1,1001,301.72,0,0
143420894,AUS / Trar (AUS) 4th May,R7 395m FFA,04-05-2018 12:15,12485260,3. Ellens Stardust,0,14.20324764969759,1,1,1,1001,1,1001,0,0,0
143421084,AUS / Trar (AUS) 4th May,R11 395m Gr5,04-05-2018 13:37,15231104,1. Dr Summer,1,10.5,1,1,1,1001,1,1001,0,0,0
143462930,TRP / Swin 4th May,A3 480m,04-05-2018 13:12,9393345,6. Jetstream Buster,0,4.795046691474562,1,1,1,1001,1,1001,0,0,0
143462930,TRP / Swin 4th May,A3 480m,04-05-2018 13:12,11513258,1. Geneva Fred,0,3.95,1,1,1,1001,1,1001,0,0,0
143473131,TRP / Newc 4th May,A2 480m,04-05-2018 17:56,18568622,4. Droopys Happy,1,3.5,1,1,1,1001,1,1001,0,0,0
143473119,TRP / Newc 4th May,A6 480m,04-05-2018 16:08,11244973,6. Dunvegan Lad,0,7.2,1,1,1,1001,1,1001,0,0,0
143473125,TRP / Newc 4th May,A3 480m,04-05-2018 17:07,18568601,1. Nancy Mulligan,0,3.7,1,1,1,1001,1,1001,0,0,0
143473125,TRP / Newc 4th May,A3 480m,04-05-2018 17:07,12011700,5. A Bit Of Neville,1,11.05406407548988,1,1,1,1001,1,1001,0,0,0
143473153,RPGTV / Towc 4th May,OR 500m,04-05-2018 19:35,18568311,1. Distant Rain,0,80,1,1,1,1001,1,1001,0,0,0
143473107,TRP / Newc 4th May,A4 480m,04-05-2018 14:08,12175601,6. Swift Lampos,0,6.2,1,1,1,1001,1,1001,0,0,0
143473107,TRP / Newc 4th May,A4 480m,04-05-2018 14:08,17194727,3. Blackhouse Jay,0,3.8,1,1,1,1001,1,1001,0,0,0
143473111,TRP / Newc 4th May,A7 480m,04-05-2018 14:47,13723319,2. Ashbank Celt,0,5.302265332,1,1,1,1001,1,1001,0,0,0
143473111,TRP / Newc 4th May,A7 480m,04-05-2018 14:47,9305722,4. Canny Make It,0,21,1,1,1,1001,1,1001,0,0,0
143473169,RPGTV / Towc 4th May,A8 480m,04-05-2018 21:39,18568360,5. Eglington,0,21,1,1,1,1001,1,1001,0,0,0
143463580,SIS / CPark 4th May,D1 265m,04-05-2018 19:12,15862861,4. Cuteen Raven,0,13,1,1,1,1001,1,1001,0,0,0
143463580,SIS / CPark 4th May,D1 265m,04-05-2018 19:12,13006839,6. Shoemakers Tom,0,12.184425785759814,1,1,1,1001,1,1001,0,0,0
143463594,SIS / CPark 4th May,A1 480m,04-05-2018 21:03,12937516,5. Hatfield Bally,0,7.4,1,1,1,1001,1,1001,0,0,0
143473109,TRP / Newc 4th May,HC 480m,04-05-2018 14:27,12707195,6. Poolie Anna,0,2.86,1,1,1,1001,1,1001,0,0,0
143473161,RPGTV / Towc 4th May,OR 500m,04-05-2018 20:36,17605135,3. Roxholme Bentley,0,7.983046480407937,1,1,1,1001,1,1001,0,0,0
143463586,SIS / CPark 4th May,OR 642m,04-05-2018 19:59,17126770,3. Corough Maria,0,30,1,1,1,1001,1,1001,0,0,0
143473113,TRP / Newc 4th May,A5 480m,04-05-2018 15:07,16911679,1. Philomenas Pet,0,22.084145913654936,1,1,1,1001,1,1001,0,0,0
143473117,TRP / Newc 4th May,HC 640m,04-05-2018 15:48,12717115,3. Mustang Andy,0,6,1,1,1,1001,1,1001,0,0,0
143473123,TRP / Newc 4th May,A8 480m,04-05-2018 16:47,17786987,6. Toolmaker Raedon,0,9.4,1,1,1,1001,1,1001,0,0,0
143473159,RPGTV / Towc 4th May,OR 500m,04-05-2018 20:21,14022769,1. Honour Turbo,1,6.325259129275947,1,1,1,1001,1,1001,0,0,0
143473159,RPGTV / Towc 4th May,OR 500m,04-05-2018 20:21,14246115,2. Lenson Wilson,0,2.447074670355846,1,2.69999049705312147305096564510204387957,1,1001,1,1001,40,0,0
143473159,RPGTV / Towc 4th May,OR 500m,04-05-2018 20:21,18568332,4. Conors Blake,0,4.434335984602073,1,1,1,1001,1,1001,0,0,0
143473149,RPGTV / Towc 4th May,OR 500m,04-05-2018 19:04,8529606,6. King Kid,0,4.380752679392607,1,4.99996585614730901283522827586674429063,1,1001,1,1001,8.88,0,0
143473163,RPGTV / Towc 4th May,OR 500m,04-05-2018 20:52,16402530,6. Droopys Nirvana,0,4.120048937363464,1,6.39992188113011965093571646330183090018,1,1001,1,1001,12,0,0
143462916,TRP / Swin 4th May,A5 480m,04-05-2018 11:28,10890448,5. Mistique Flare,0,6.777848147491458,1,5.34057428845862190991355340983772306759,1,1001,1,1001,791.24,0,0
143462918,TRP / Swin 4th May,A8 480m,04-05-2018 11:42,17900440,3. Teddybear Alex,0,3.4961465261168634,1,3.59960534118561233462159785698218923174,1,1001,1,1001,7824.48,0,0
143462918,TRP / Swin 4th May,A8 480m,04-05-2018 11:42,18181357,4. Galtymore Joy,0,3.2,1,3.36000479083463773443081993482812880737,1,1001,1,1001,9685.16,0,0
143462890,SIS / Crayfd 4th May,E3 714m,04-05-2018 13:07,10422550,1. Muskerry Mona,0,4.4,1,1,1,1001,1,1001,0,0,0
143462890,SIS / Crayfd 4th May,E3 714m,04-05-2018 13:07,11016786,2. Cossie,1,6.669890974375884,1,1,1,1001,1,1001,0,0,0
143462890,SIS / Crayfd 4th May,E3 714m,04-05-2018 13:07,15942931,6. Crossgarcrainey,0,12,1,1,1,1001,1,1001,0,0,0
143462914,TRP / Swin 4th May,A5 480m,04-05-2018 11:11,8422286,5. Shelbourne Eddie,0,5.5,1,4.94702008491355122870543891412296583341,1,1001,1,1001,1888.98,0,0
143462914,TRP / Swin 4th May,A5 480m,04-05-2018 11:11,11713375,6. O Leary Champ,1,3.25,1,2.90692377856743876495965202096431075669,1,1001,1,1001,6731.44,0,0
143462914,TRP / Swin 4th May,A5 480m,04-05-2018 11:11,13493773,3. Jet Stream Boy,0,6.038140067,1,5.70811917347429120615088899567515617492,1,1001,1,1001,2081,0,0
143462936,TRP / Swin 4th May,HC 480m,04-05-2018 13:58,12103255,6. Wagga Royal,0,7.2,1,1,1,1001,1,1001,0,0,0
143462872,SIS / Crayfd 4th May,S8 540m,04-05-2018 10:51,18563782,2. Mona Jaxxon,0,18,1,10.1374640743871513102282333051563820795,1,1001,1,1001,709.8,0,0
143462934,TRP / Swin 4th May,A4 480m,04-05-2018 13:44,13636310,5. Kentucky May,0,6.2,1,1,1,1001,1,1001,0,0,0
143462934,TRP / Swin 4th May,A4 480m,04-05-2018 13:44,15340817,2. Dream Day,1,3.529635594,1,1,1,1001,1,1001,0,0,0
143462934,TRP / Swin 4th May,A4 480m,04-05-2018 13:44,10621252,4. Glenvale Jack,0,7.6,1,1,1,1001,1,1001,0,0,0
143462880,SIS / Crayfd 4th May,A6 380m,04-05-2018 11:52,17855767,2. Slowlane Bell,1,3.439362684479565,1,3.00588121435593727823764201631935194114,1,1001,1,1001,8483.18,0,0
143462882,SIS / Crayfd 4th May,S6 540m,04-05-2018 12:06,14694355,2. Turbine Thallo,0,12.5,1,1,1,1001,1,1001,0,0,0
143462874,SIS / Crayfd 4th May,A8 380m,04-05-2018 11:06,12400551,1. Small Wishes,0,16.64185412676423,1,11.76501816420440784693630418987648341,1,1001,1,1001,412.9,0,0
